ID;Profundidad_m;Litologia;Densidad_g_cm3;Vp_km_s;Numero_fracturas
1;5;Arenisca;2.22;3.4;8
2;10;Arenisca;2.25;3.6;7
3;15;Caliza;2.61;5.1;4
4;20;Basalto;2.88;6.2;2
5;25;Arenisca;2.28;3.7;9
6;30;Caliza;2.65;5.3;3
7;35;Arenisca;2.31;3.9;6
8;40;Basalto;2.91;6.4;1
9;45;Caliza;2.58;4.8;5
10;50;Arenisca;2.34;4;7
11;55;Caliza;2.67;5.4;4
12;60;Basalto;2.86;6;3
13;65;Arenisca;2.3;3.8;15
14;70;Caliza;2.63;5.2;5
15;75;Arenisca;2.38;4.2;6
16;80;Basalto;2.94;6.5;2
17;85;Caliza;2.69;5.5;3
18;90;Arenisca;2.36;4.1;8
19;95;Basalto;2.9;6.3;1
20;100;Caliza;2.66;5.3;4
21;105;Arenisca;2.41;4.4;17
22;110;Caliza;2.72;5.7;2
23;115;Basalto;2.83;5.8;5
24;120;Arenisca;2.27;3.5;9
